,unsafe_control_action_0,unsafe_control_action_1,equality
0,BSCU Disarm command is not issued upon successful landing [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
1,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
2,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
3,Hydraulic Controller closes valves during critical braking [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
4,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
5,Wheel Brakes maintain full pressure post-stop [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
6,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
7,Hydraulic system remains engaged after command ends [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],True
8,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic system disengages prematurely [H-2],False
9,Autobrake Controller stops providing Brake command too early during landing [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
10,BSCU provides Arm and Set command prematurely before required conditions [H-1],Autobrake engages without command during manual operation [H-2],False
11,Hydraulic Controller closes valves during critical braking [H-3],Hydraulic system remains engaged after command ends [H-3],False
12,BSCU triggers Brake too late after turbulence passes [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
13,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
14,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Autobrake deceleration rate set incorrectly [H-1],False
15,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
16,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Manual Braking State not entered after system fault detection [H-6],True
17,Autobrake Controller provides Brake command during takeoff roll [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
18,BSCU triggers Brake too late after turbulence passes [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
19,Flight Crew omits BSCU mode check during pre-flight [H-1],Wheel Brakes provide inconsistent braking power [H-3],False
20,Hydraulic Controller fails to provide adequate pressure [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
21,BSCU Disarm command is not issued upon successful landing [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
22,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
23,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
24,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Autobrake engages without command during manual operation [H-2],False
25,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew engages Steering control during high-speed approach [H-6],False
26,Wheels provide inaccurate Wheel Speed data [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
27,BSCU power turns off during normal operation [H-2],Other subsystems do not receive Manual Controls from Flight Crew [H-6],True
28,BSCU engages Autobrake mode during normal taxi [H-3],Other subsystems trigger erroneous state transition [H-6],False
29,Wheel Brakes maintain full pressure post-stop [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],True
30,BSCU does not engage Autobrake mode when required [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
31,BSCU fault falsely triggers emergency protocol [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
32,Flight Crew engages Steering control during high-speed approach [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
33,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Other subsystems trigger erroneous state transition [H-6],False
34,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Autobrake engages without command during manual operation [H-2],False
35,Autobrake Controller stops providing Brake command too early during landing [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
36,Hydraulic system remains engaged after command ends [H-3],Hydraulic system disengages prematurely [H-2],False
37,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
38,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller provides excessive pressure to brakes [H-3],False
39,Wheels do not provide feedback for Wheel Speed [H-6],BSCU Disarm command is not issued upon successful landing [H-2],False
40,Wheels provide inaccurate Wheel Speed data [H-6],Autobrake deceleration rate set incorrectly [H-1],False
41,BSCU Disarm command is issued before landing completion [H-2],BSCU fault signal ignored during landing [H-2],True
42,Flight Crew engages Steering control during high-speed approach [H-6],Brake System Control Unit switches to alternate mode without necessity [H-2],False
43,Hydraulic Controller provides excessive pressure to brakes [H-3],Hydraulic system remains engaged after command ends [H-3],True
44,BSCU does not engage Autobrake mode when required [H-1],BSCU power does not turn off during system fault [H-2],False
45,Wheels provide inaccurate Wheel Speed data [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
46,BSCU power does not turn off during system fault [H-2],Manual Braking State not entered after system fault detection [H-6],False
47,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],False
48,BSCU Disarm command is issued before landing completion [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
49,BSCU engages Autobrake mode during normal taxi [H-3],Autobrake engages without command during manual operation [H-2],False
50,Autobrake engages without command during manual operation [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
51,Autobrake engages without command during manual operation [H-2],BSCU fault falsely triggers emergency protocol [H-2],True
52,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU fault falsely triggers emergency protocol [H-2],False
53,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU Disarm command is issued before landing completion [H-2],False
54,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU triggers Brake too early upon detecting turbulence [H-6],True
55,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
56,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew does not engage Steering control during taxi [H-3],False
57,BSCU Disarm command is issued before landing completion [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
58,BSCU triggers Brake too late after turbulence passes [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
59,Manual Braking State not entered after system fault detection [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
60,BSCU Disarm command is not issued upon successful landing [H-2],Manual Braking State not entered after system fault detection [H-6],False
61,Hydraulic Controller closes valves during critical braking [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
62,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake engages without command during manual operation [H-2],False
63,Flight Crew does not engage Steering control during taxi [H-3],Hydraulic system remains engaged after command ends [H-3],False
64,Autobrake deceleration rate change too late for necessary correction [H-1],Other subsystems trigger erroneous state transition [H-6],False
65,BSCU power turns off during normal operation [H-2],BSCU fault falsely triggers emergency protocol [H-2],True
66,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
67,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],True
68,BSCU power turns off during normal operation [H-2],Autobrake engages without command during manual operation [H-2],True
69,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
70,Flight Crew conducts BSCU mode change mid-flight [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
71,BSCU Disarm command is issued before landing completion [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
72,Hydraulic Controller provides excessive pressure to brakes [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
73,BSCU provides Arm and Set command prematurely before required conditions [H-1],Other subsystems trigger erroneous state transition [H-6],False
74,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],False
