,unsafe_control_action,quality
0,BSCU fault signal ignored during landing [H-2],CORRECT_AND_USEFUL
1,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",CORRECT_BUT_USELESS
2,Other Subsystems stop providing System modes command too soon in adverse weather [H-8].,CORRECT_AND_USEFUL
3,Flight Crew applies Reverse thrust during normal landing [H-2],INCORRECT
4,"Hydraulic Controller continues operation despite system fault alert [H-2, L-1].",CORRECT_AND_USEFUL
5,BSCU Autobrake does not provide Brake during emergency landing [H-1],CORRECT_AND_USEFUL
6,Autobrake Controller provides Brake command during takeoff roll [H-3],INCORRECT
7,**Manual Controls** are provided too late in response to a runway excursion alert [H-4].,CORRECT_AND_USEFUL
8,BSCU power does not turn off during system fault [H-2],CORRECT_AND_USEFUL
9,Flight Crew fails to disengage Reverse Thrust when gear retracts [H-2],CORRECT_AND_USEFUL
10,**Manual Controls** conflict with automated **BSCU Command** during emergency [H-4].,CORRECT_AND_USEFUL
11,Flight Crew enters Manual control state too late after Autobrake failure [H-3],CORRECT_AND_USEFUL
12,Hydraulic Controller does not open valves after brake command [H-2],CORRECT_AND_USEFUL
13,BSCU switches to alternate mode without a fault in normal mode [H-2],CORRECT_AND_USEFUL
14,**Flight Crew** provides **Brake Pedal** command prior to touchdown [H-4].,CORRECT_AND_USEFUL
15,Hydraulic system disengages prematurely [H-2],CORRECT_AND_USEFUL
16,Flight Crew neglects reverse thrust check during systems test [H-6],CORRECT_BUT_USELESS
17,BSCU Autobrake provides Brake control action applied too long causing tire damage [H-2],CORRECT_AND_USEFUL
18,Hydraulic Controller applies pressure out of sync during sequential stops [H-3],CORRECT_AND_USEFUL
19,Wheel Brakes maintain full pressure post-stop [H-2],CORRECT_AND_USEFUL
20,BSCU triggers Brake too early upon detecting turbulence [H-6],CORRECT_AND_USEFUL
21,Wheels provide inaccurate Wheel Speed data [H-6],CORRECT_AND_USEFUL
22,Flight Crew omits BSCU mode check during pre-flight [H-1],CORRECT_BUT_USELESS
23,**Flight Crew** stops providing **manual brake** too soon during **steep descent** [H-6].,CORRECT_AND_USEFUL
24,**Flight Crew** executes **Steer** too late leading to runway excursion [H-3].,CORRECT_AND_USEFUL
25,Flight Crew applies reverse thrust out of sequence [H-6],CORRECT_AND_USEFUL
26,"**BSCU** doesn't activate **Brake** in emergency descent [H-1, H-6].",CORRECT_AND_USEFUL
27,BSCU Disarm command is not issued upon successful landing [H-2],CORRECT_BUT_USELESS
28,**Hydraulic Controller** does not provide **Valve Closing** during hydraulic failure [H-2].,CORRECT_AND_USEFUL
29,Flight Crew conducts BSCU mode change mid-flight [H-1],CORRECT_BUT_USELESS
30,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],CORRECT_AND_USEFUL
31,Other subsystems trigger erroneous state transition [H-6],CORRECT_BUT_USELESS
32,Wheel Brakes releasing too soon before complete stop [H-3],CORRECT_AND_USEFUL
33,"Hydraulic Controller maintains Valve operation too long in takeoff abort [H-3, L-2].",CORRECT_AND_USEFUL
34,Autobrake Controller provides asymmetric Braking during crosswind conditions [H-1].,CORRECT_AND_USEFUL
35,Hydraulic system remains engaged after command ends [H-3],CORRECT_BUT_USELESS
36,**Manual Controls** are not provided **when approaching obstacles** [H-6].,CORRECT_AND_USEFUL
37,Crew does not power on BSCU when needed for braking [H-4],CORRECT_AND_USEFUL
38,"**Flight Crew** applies **Engine throttle** before full stop, risking collision with ground support. [H-4]",CORRECT_AND_USEFUL
39,Hydraulic Controller does not open valves during Autobrake mode [H-3],CORRECT_BUT_USELESS
40,Wheel Brakes provide inconsistent braking power [H-3],CORRECT_AND_USEFUL
41,Flight Crew engages Steering control during high-speed approach [H-6],CORRECT_BUT_USELESS
42,Autobrake deceleration rate change too late for necessary correction [H-1],CORRECT_AND_USEFUL
43,Manual Braking State not entered after system fault detection [H-6],CORRECT_AND_USEFUL
44,Other subsystems do not receive Manual Controls from Flight Crew [H-6],CORRECT_BUT_USELESS
45,**Flight Crew** provides **Reverse Thrust** during normal takeoff [H-3].,CORRECT_AND_USEFUL
46,"Flight Crew stops Manual Override too soon before landing complete [H-6, L-1, L-2].",CORRECT_AND_USEFUL
